Type;Plis;Pages;Plis FRA;Pages FRA;Plis ETR;Pages ETR
C6 : 1 à 3f;55;208;50;182;5;26
C5 : 4 à 5f;8;66;8;66;0;0
C4 : 6 à 100f;12;288;9;208;3;80
C4S : +100f;0;0;0;0;0;0
Poste;75;562;67;456;8;106
Coursier;0;0;0;0;0;0
Agence;7;116;7;116;0;0
Annonceur;68;446;60;340;8;106
Total;75;562;67;456;8;106
