Type;Plis;Pages;Plis FRA;Pages FRA;Plis ETR;Pages ETR
C6 : 1 à 3f;139;528;119;440;20;88
C5 : 4 à 5f;75;674;65;582;10;92
C4 : 6 à 100f;191;5446;164;4904;27;542
C4S : +100f;3;2022;3;2022;0;0
Poste;406;6890;349;6168;57;722
Coursier;2;1780;2;1780;0;0
Agence;23;2186;22;2182;1;4
Annonceur;385;6484;329;5766;56;718
Total;408;8670;351;7948;57;722
