Type;Plis;Pages;Plis FRA;Pages FRA;Plis ETR;Pages ETR
C6 : 1 à 3f;1;2;1;2;0;0
C5 : 4 à 5f;1;8;1;8;0;0
C4 : 6 à 100f;0;0;0;0;0;0
C4S : +100f;0;0;0;0;0;0
Poste;2;10;2;10;0;0
Coursier;0;0;0;0;0;0
Agence;0;0;0;0;0;0
Annonceur;2;10;2;10;0;0
Total;2;10;2;10;0;0
