Type;Plis;Pages;Plis FRA;Pages FRA;Plis ETR;Pages ETR
C6 : 1 à 3f;32;128;26;100;6;28
C5 : 4 à 5f;7;64;6;54;1;10
C4 : 6 à 100f;6;142;6;142;0;0
C4S : +100f;0;0;0;0;0;0
Poste;45;334;38;296;7;38
Coursier;0;0;0;0;0;0
Agence;7;118;7;118;0;0
Annonceur;38;216;31;178;7;38
Total;45;334;38;296;7;38
