Type;Plis;Pages;Plis FRA;Pages FRA;Plis ETR;Pages ETR
C6 : 1 à 3f;74;256;66;226;8;30
C5 : 4 à 5f;10;84;10;84;0;0
C4 : 6 à 100f;4;232;3;172;1;60
C4S : +100f;0;0;0;0;0;0
Poste;88;572;79;482;9;90
Coursier;0;0;0;0;0;0
Agence;10;194;10;194;0;0
Annonceur;78;378;69;288;9;90
Total;88;572;79;482;9;90
